Line,Frequency
Hair/Skin/Their Quality + Product Effect,7
Scent,6
Product Effect + Product Effect,6
Intensifier + Product Effect,6
Product Effect,5
Hair/Skin/Their Quality + Vitality/Wellness,4
Scent + Liquids/Hydration,3
Scent + Vitality/Wellness,3
Scent + Hair/Skin Care Ingredients,3
Attractive Quality + Hair/Skin/Their Quality,3
Attractive Quality + Floral,3
Vitality/Wellness,3
Hair/Skin Care Ingredients + Product Effect,3
Attractive Quality + Emotion/Sensory,2
Scent + Hair/Skin/Their Quality + Vitality/Wellness,2
Color + Product Effect,2
Action/Play + Attractive Quality,2
Scent + Scent,2
Attractive Quality,2
Attractive Quality + Product Effect,2
Attractive Quality + Vitality/Wellness,2
creme + Gentleness,2
Intensifier + Color,2
Time + Emotion/Sensory,2
Vitality/Wellness + Vitality/Wellness,2
Scent + Emotion/Sensory,2
Attractive Quality + Time,2
Liquids/Hydration + Scent,2
Liquids/Hydration + Liquids/Hydration,2
Geographical + Emotion/Sensory,2
Gentleness + Product Effect,2
Color + Color,2
Time + Nature,2
Philosophical/Political + for + Women,1
Product Effect + Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Product Effect + Radiance,1
Bio + Scent + Bio + Hair/Skin Care Ingredients,1
Bio + Scent,1
Color + Color + Product Effect + Product Effect,1
Product Effect + Attractive Quality + Floral,1
Color + Floral,1
Product Effect + Texture/Fabrics,1
Product Effect + Hair/Skin/Their Quality,1
Texture/Fabrics + Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Floral + Floral + Nature,1
Vitality/Wellness + scent,1
Scent + Nature,1
Scent + Scent + Hair/Skin Care Ingredients,1
Hair/Skin/Their Quality + Radiance,1
compressed + original,1
Mystical/Magical + Mystical/Magical,1
creme + Product Effect,1
Intensifier + Product Effect + Product Effect,1
Hair/Skin/Their Quality + Hair/Skin/Their Quality + Product Effect + Intensifier,1
Mystical/Magical + Time,1
Emotion/Sensory + Hair/Skin/Their Quality,1
Bio + Floral,1
Vitality/Wellness + Action/Play,1
Attractive Quality + Scent,1
Floral + Emotion/Sensory,1
Vitality/Wellness + Floral,1
Vitality/Wellness + it + up,1
Vitality/Wellness + Scent,1
Vitality/Wellness + Gentleness,1
Vitality/Wellness + Bio,1
Vitality/Wellness + Floral + Emotion/Sensory,1
Vitality/Wellness + Emotion/Sensory,1
Frozen + Scent,1
Intensifier + Radiance,1
Radiance + Color,1
Radiance + Hair/Skin/Their Quality,1
Radiance + Radiance,1
Radiance,1
Radiance + Product Effect + Product Effect,1
Action/Play + Product Effect,1
Hair/Skin/Their Quality + Vitality/Wellness + Scent,1
Emotion/Sensory + Bio + Color + Scent,1
Emotion/Sensory + Emotion/Sensory,1
Liquids/Hydration + Product Effect,1
Liquids/Hydration + Radiance,1
Intensifier + Liquids/Hydration,1
Product Effect + Color + Color,1
Philosophical/Political,1
Liquids/Hydration + Texture/Fabrics,1
Mystical/Magical + Women,1
Geographical + Nature,1
Emotion/Sensory + of + Nature + Nature + Vitality/Wellness,1
Mystical/Magical + Liquids/Hydration,1
Mystical/Magical + Hair/Skin/Their Quality + Radiance,1
Mystical/Magical + Product Effect + Intensifier,1
Mystical/Magical + Liquids/Hydration + Radiance,1
Mystical/Magical + Hair/Skin/Their Quality + Product Effect,1
Liquids/Hydration + Mystical/Magical,1
Bio,1
Bio + Attractive Quality,1
nice + to + Nature + you,1
Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Geographical + Time,1
Geographical,1
Emotion/Sensory + Scent + Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Scent + Scent + Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Nature + Attractive Quality,1
Color + Scent,1
Color + Emotion/Sensory,1
Action/Play + it + Attractive Quality,1
Vitality/Wellness + Women,1
Product Effect + Scent,1
Product Effect + Product Effect + Hair/Skin Care Ingredients,1
Product Effect + Action/Play,1
Floral + Scent,1
Floral + Scent + Hair/Skin Care Ingredients,1
Floral + Liquids/Hydration,1
Texture/Fabrics + Product Effect,1
Gentleness,1
Hair/Skin Care Ingredients,1
Texture/Fabrics + Radiance,1
Color,1
Gentleness + Hair/Skin Care Ingredients,1
Action/Play + Color,1
Vitality/Wellness + Product Effect,1
Time + Emotion/Sensory + Action/Play,1
Nature + Radiance,1
Intensifier + Intensifier,1
Product Effect + the + Nature + Vitality/Wellness,1
Hair/Skin/Their Quality + Intensifier + Hair/Skin Care Ingredients + Hair/Skin Care Ingredients,1
Emotion/Sensory + Time,1
Floral + Nature,1
Intensifier + Vitality/Wellness,1
Intensifier + Hair/Skin/Their Quality,1
Intensifier + Gentleness,1
Scent + Action/Play,1
Texture/Fabrics + Floral,1
Color + Action/Play,1
Vitality/Wellness + Radiance,1
Hair/Skin/Their Quality + Mystical/Magical,1
Floral + Hair/Skin Care Ingredients,1
Women,1
