Line,Frequency
Intensity/Force + Energy/Power,5
Color + Fragrances/Scents,4
Sport/Activity,4
Sport/Activity + Nature,3
Nature + Fragrances/Scents,3
Color,3
Status/Profession,3
Energy/Power,3
Nature + Energy/Power,3
Cleanliness/Freshness,3
Emotion/Sensory,3
Urban Lifestyle + Adventure/Exploration,2
Adventure/Exploration,2
Chemical Element + Protection/Defense,2
Nature,2
Color + Emotion/Sensory,2
Emotion/Sensory + Protection/Defense,2
Intensity/Force + Sport/Activity,2
Energy/Power + Intensity/Force,2
Attractive Quality + Adventure/Exploration,2
Cleanliness/Freshness + Nature,2
Sport/Activity + Sport/Activity,2
Nature + Nature,2
Attractive Quality + Men,2
made + for + Men,2
Intensity/Force + Protection/Defense,2
Sport/Activity + Protection/Defense,2
Intensity/Force + Men,1
Sport/Activity + Chemical Element,1
Sport/Activity + Cleanliness/Freshness,1
Adventure/Exploration + Intensity/Force,1
Time + Sport/Activity,1
Time + to + Time,1
Urban Lifestyle + for + Men,1
Urban Lifestyle,1
Status/Profession + Urban Lifestyle,1
be + Color,1
Color + Urban Lifestyle,1
Color + Fragrances/Scents + Color + Fragrances/Scents,1
Color + Color + invisible,1
Color + Fragrances/Scents + Fragrances/Scents,1
Protection/Defense,1
Classic,1
Classic + Color,1
Classic + Men,1
Cleanliness/Freshness + Vitality/Wellness,1
Chemical Element + Emotion/Sensory,1
Energy/Power + Color + edition,1
Nature + Cleanliness/Freshness,1
Nature + Sport/Activity + Cleanliness/Freshness,1
Color + Attractive Quality,1
deep + Emotion/Sensory,1
Emotion/Sensory + Intensity/Force,1
Energy/Power + Sport/Activity,1
Energy/Power + for + Men,1
Urban Lifestyle + Cleanliness/Freshness,1
Intensity/Force + Emotion/Sensory,1
Intensity/Force + Nature,1
for + Men,1
Cleanliness/Freshness + Sport/Activity,1
Cleanliness/Freshness + Energy/Power,1
Cleanliness/Freshness + Emotion/Sensory,1
Color + Fragrances/Scents + Status/Profession,1
Color + Intensity/Force,1
Fragrances/Scents,1
Nature + Protection/Defense,1
Nature + Energy/Power + Intensity/Force + Sport/Activity,1
Nature + Adventure/Exploration,1
Nature + Emotion/Sensory,1
Attractive Quality,1
Adventure/Exploration + Cleanliness/Freshness + Nature + Nature + Fragrances/Scents,1
Adventure/Exploration + Color,1
Texture/Fabrics + Fragrances/Scents,1
Fragrances/Scents + Fragrances/Scents,1
Adventure/Exploration + Men,1
Men + Attractive Quality,1
Intensity/Force + Protection/Defense + Intensity/Force + Cleanliness/Freshness,1
Men + Sport/Activity,1
Men + Energy/Power,1
Men + Status/Profession,1
Fragrances/Scents + Nature + Fragrances/Scents,1
Energy/Power + Intensity/Force + Energy/Power,1
Energy/Power + Intensity/Force + Energy/Power + Sport/Activity,1
Protection/Defense + Vitality/Wellness,1
Cleanliness/Freshness + Chemical Element,1
Color + Fragrances/Scents + Fragrances/Scents + Fragrances/Scents,1
Vitality/Wellness,1
Status/Profession + Urban Lifestyle + Fragrances/Scents,1
Texture/Fabrics + Nature,1
Emotion/Sensory + for + Men,1
Emotion/Sensory + Energy/Power,1
Sport/Activity + Cleanliness/Freshness + Fragrances/Scents,1
Sport/Activity + Energy/Power + Sport/Activity,1
Status/Profession + Emotion/Sensory,1
Adventure/Exploration + Adventure/Exploration,1
Sport/Activity + Status/Profession,1
Intensity/Force + Vitality/Wellness,1
Intensity/Force + Intensity/Force,1
Intensity/Force + Cleanliness/Freshness,1
Status/Profession + Men,1
